minute,bid,ask
1746004680,94679.69953051643,94680.85446009389
1746004740,94687.23708206687,94688.24012158054
1746004800,94696.18072289157,94697.2610441767
1746004860,94703.62962962964,94704.67676767676
1746004920,94712.0,94713.0
1746004980,94707.9490909091,94709.0290909091
1746005040,94687.32352941176,94688.37352941177
1746005100,94700.04433497536,94701.04433497536
1746005160,94694.77876106194,94695.83185840708
1746005220,94693.1313131313,94694.14646464646
1746005280,94722.82142857143,94724.08730158731
1746005340,94756.1914893617,94757.34042553192
1746005400,94793.33431952662,94794.55325443787
1746005460,94825.05448717948,94826.30769230769
1746005520,94810.0,94811.0
1746005580,94827.9063670412,94829.06367041198
1746005640,94846.10410094637,94847.14826498422
1746005700,94845.225,94846.265625
1746005760,94839.0,94840.0
1746005820,94890.77272727272,94892.15240641711
1746005880,94891.45714285714,94892.53214285715
1746005940,94880.28409090909,94881.38257575757
1746006000,94886.81447963801,94887.84615384616
1746006060,94923.33425414364,94924.71546961326
1746006120,94988.81948424068,94990.44699140401
1746006180,94981.2700729927,94982.40875912408
1746006240,94970.09627329193,94971.26708074534
1746006300,94996.8862275449,94998.28143712576
1746006360,94955.66798418973,94956.69960474309
1746006420,94943.5,94944.61935483871
1746006480,94934.54700854702,94935.57692307692
1746006540,94930.96116504855,94932.0
1746006600,94920.58636363636,94921.58636363636
1746006660,94915.5052631579,94916.51052631579
1746006720,94912.1287553648,94913.1373390558
1746006780,94912.67605633802,94913.68075117371
1746006840,94960.25377643504,94961.55891238671
1746006900,94984.55833333333,94985.75277777777
1746006960,94985.0,94986.0
1746007020,94975.87681159421,94977.0615942029
1746007080,94968.26842105263,94969.35789473684
1746007140,94972.0,94973.0
1746007200,94961.05322128852,94962.26610644258
1746007260,94923.6170678337,94924.79212253829
1746007320,94879.48285714285,94880.62857142858
1746007380,94889.40166204986,94890.53185595568
1746007440,94880.41706161137,94881.42180094786
1746007500,94887.59190031153,94888.66043613707
1746007560,94863.37958115184,94864.55759162303
1746007620,94892.83125,94893.90625
1746007680,94888.47696476965,94889.52032520325
1746007740,94877.65395894428,94878.68328445748
1746007800,94885.76404494382,94886.77528089887
1746007860,94880.99579831933,94882.06302521008
1746007920,94895.61940298507,94896.64552238806
1746007980,94901.0,94902.0
1746008040,94924.32635983263,94925.7280334728
1746008100,94945.9935897436,94947.09935897436
1746008160,94935.48520710059,94936.50591715977
1746008220,94923.23478260869,94924.24347826088
1746008280,94887.75232198142,94889.0092879257
1746008340,94880.2334801762,94881.23788546256
1746008400,94883.6551724138,94884.71724137932
1746008460,94883.552,94884.604
1746008520,94894.89961389962,94895.93822393822
1746008580,94893.98498498499,94895.003003003
1746008640,94880.66176470589,94881.75735294117
1746008700,94880.0,94881.0
1746008760,94886.6370967742,94887.7620967742
1746008820,94900.51982378855,94901.54185022027
1746008880,94905.0,94906.0
1746009060,94905.0,94906.0
1746009120,94905.0,94906.0
