minute,bid,ask
1740792960,83986.6134703196,83986.71369863016
1740793020,84015.40637362639,84015.50637362635
1740793080,83979.36507177018,83979.46507177017
1740793140,84023.581974249,84023.68476394855
1740793200,84056.03091334892,84056.13091334882
1740793260,84134.08867562386,84134.19059500961
1740793320,84328.84310954061,84328.94770318017
1740793380,84300.33165735575,84300.43258845435
1740793440,84438.18253119434,84438.33582887707
1740793500,84414.58153846157,84414.68153846152
1740793560,84450.87005649717,84450.97419962334
1740793620,84495.02500000018,84495.13814814814
1740793680,84459.39862204742,84459.50137795277
1740793740,84431.53538767384,84431.64055665986
1740793800,84454.27014028057,84454.37054108213
1740793860,84520.85312500001,84520.95569852929
1740793920,84536.30365630706,84536.41572212071
1740793980,84548.97182320434,84549.07182320452
1740794040,84537.98506876243,84538.09724950894
1740794100,84524.23555555548,84524.33636363645
1740794160,84583.22037037046,84583.32037037054
1740794220,84730.71507798968,84730.8273830156
1740794280,84670.17153419589,84670.27338262474
1740794340,84634.1647495362,84634.26512059355
1740794400,84590.91580882334,84591.01636029425
1740794460,84492.9551210428,84493.07169459958
1740794520,84369.57142857142,84369.69999999998
1740794580,84424.72243713729,84424.82243713745
1740794640,84435.43614457821,84435.53614457826
1740794700,84398.43326403326,84398.53326403315
1740794760,84400.737815126,84400.83781512619
1740794820,84367.37069351228,84367.47069351234
1740794880,84324.43194154487,84324.5323590814
1740794940,84347.12629310363,84347.22629310351
1740795000,84428.46509803916,84428.56509803922
1740795060,84570.9776340112,84571.08484288362
1740795120,84677.7230215827,84677.83057553964
1740795180,84666.09377593375,84666.19377593353
1740795240,84703.59098039227,84703.69333333326
1740795300,84721.37047244085,84721.47992125986
1740795360,84651.54606060605,84651.64707070704
1740795420,84578.19581589953,84578.30376569045
1740795480,84560.74054580905,84560.8471734893
1740795540,84584.31893939401,84584.41912878788
1740795600,84685.7585603112,84685.86128404672
1740795660,84741.83265720097,84741.9326572008
1740795720,84782.60666666682,84782.7070588235
1740795780,84756.92514734769,84757.02671905697
1740795840,84715.42287449398,84715.52287449375
1740795900,84725.05536842116,84725.1564210525
1740795960,84759.5206766918,84759.62086466159
1740796020,84898.68383128304,84898.80456942001
1740796080,84941.36379613362,84941.46748681902
1740796140,84972.55517857143,84972.6564285714
1740796200,84978.23575129533,84978.34611398962
1740796260,85076.59621993128,85076.74329896912
1740796320,85114.83089983022,85114.98811544999
1740796380,85293.93013468017,85294.12491582493
1740796440,85353.92175379432,85354.03591905558
1740796500,85322.59303904918,85322.69371816637
1740796560,85292.6863321799,85292.79480968852
1740796620,85320.52777777756,85320.63422939093
1740796680,85280.60018315016,85280.70366300359
1740796740,85259.31425925918,85259.41888888877
1740796800,85204.69871559626,85204.80018348627
1740796860,85234.15428050999,85234.25519125679
1740796920,85265.43687150831,85265.54096834266
1740796980,85304.07576923081,85304.17576923073
1740797040,85428.05870736079,85428.16157989229
1740797100,85459.0914893618,85459.19414893628
1740797160,85466.95600706719,85467.05742049459
1740797220,85371.16323529411,85371.26617647056
1740797280,85345.02146788983,85345.12697247697
1740797340,85382.43227016884,85382.53414634136
1740797400,85394.5550909093,85394.66200000013
1740797460,85360.39328358215,85360.49365671638
1740797520,85384.96185958263,85385.06318785585
1740797580,85520.67526690404,85520.81174377212
1740797640,85563.74847396785,85563.85816876123
1740797700,85423.60089126573,85423.72994652396
1740797760,85316.99750445654,85317.11586452776
1740797820,85280.26983842025,85280.3786355476
1740797880,85238.63692022243,85238.7369202226
1740797940,85219.5784615384,85219.67961538439
1740798000,85236.62592592584,85236.72592592583
1740798060,85242.237310606,85242.33731060599
1740798120,85281.09606299207,85281.19685039378
1740798180,85268.7943844494,85268.89438444939
1740798240,85342.08206627674,85342.18460038977
1740798300,85249.86524163572,85249.98141263929
1740798360,85090.77860962572,85090.88556149721
1740798420,85042.21297297307,85042.32072072077
1740798480,85012.25071428559,85012.35571428567
1740798540,84993.1373134328,84993.23824626846
1740798600,84991.79680451145,84991.89774436098
1740798660,85060.8518737674,85060.96055226825
1740798720,85084.41120507392,85084.511205074
1740798780,85085.3077731094,85085.40777310928
1740798840,85034.05511482268,85034.15511482248
1740798900,85047.33747495002,85047.44649298588
1740798960,85022.01829268296,85022.12337398378
1740799020,84997.70351562495,84997.80488281247
1740799080,85004.053478261,85004.1541304347
1740799140,84970.66511627915,84970.76511627914
1740799200,84982.20750000024,84982.30750000007
1740799260,85004.11686991867,85004.21890243916
1740799320,84980.24245939682,84980.34245939675
1740799380,84956.32686567148,84956.43304904063
