"symbol","exchange","valid_from","multiplier","swap_funding_period","swap_funding_base_rate_bps","swap_funding_floor","swap_funding_cap","swap_funding_payment_frequency","swap_funding_clamp_range_high","swap_funding_clamp_range_low","swap_impact_notional"
PSWP-BERA/USDT,kusw,2025-02-04 13:18:40.848028000 +0800,1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-04 13:18:42.561020000 +0800,1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-04 13:18:42.561175000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-04 13:18:46.491437000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-04 13:18:46.913682000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-04 13:18:47.528479000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-04 13:18:57.598778000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-04 13:18:57.980374000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-04 13:32:02.192070000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-04 13:32:02.192070000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-04 13:33:42.479644000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-04 13:33:42.479644000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-04 13:54:49.959609000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-04 13:54:49.959609000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-04 16:03:29.547003000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-04 16:03:29.547003000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-05 18:39:30.240498000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 19:44:09.732136000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 19:44:52.396342000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:01:09.097593000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:01:09.097593000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:02:47.743072000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:02:47.743072000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:09:38.762675000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:13:59.056980000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:14:20.868362000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:18:37.086822000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:19:02.878671000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 21:19:02.878671000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 21:25:30.441909000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 21:25:30.441909000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:25:38.132858000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 21:25:56.673494000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:27:17.482892000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:27:22.969331000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:27:36.178038000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:27:45.278480000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 21:27:46.100215000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:34:10.984495000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:34:10.984495000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:37:51.743135000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:40:31.952343000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:40:37.581416000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:41:42.761646000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:44:56.795821000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:44:56.795821000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-06 21:48:34.338286000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:00:04.446098000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:00:04.446098000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:00:29.982408000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:00:29.982408000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:02:00.624503000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:02:05.316354000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 22:08:54.795604000 +0800,1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-06 22:10:54.283467000 +0800,1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:19:26.748930000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-06 22:19:29.110575000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 22:49:54.948287000 +0800,1,,,,,,,,
