minute,bid,ask
1740787200,22.39400468384078,22.399004683840776
1740787260,22.366945080091536,22.371956521739126
1740787320,22.297817109144543,22.30281710914454
1740787380,22.271661721068263,22.27666172106828
1740787440,22.25483098591546,22.25983098591546
1740787500,22.26506250000004,22.270062500000005
1740787560,22.28682320441992,22.29182320441989
1740787620,22.301312997347456,22.30631299734749
1740787680,22.311997041420124,22.3169970414201
1740787740,22.323651315789483,22.328651315789454
1740787800,22.33480645161288,22.339806451612887
1740787860,22.34731607629426,22.352316076294287
1740787920,22.334972299168946,22.33998614958447
1740787980,22.283155487804887,22.28820121951222
1740788040,22.31187499999999,22.31688858695652
1740788100,22.34245862884159,22.34747044917254
1740788160,22.309148230088514,22.314148230088527
1740788220,22.312837500000022,22.31784999999999
1740788280,22.29313725490199,22.298137254901963
1740788340,22.2864202898551,22.291434782608686
1740788400,22.261188405797096,22.26618840579711
1740788460,22.251900510204045,22.256900510204055
1740788520,22.232070552147245,22.237070552147223
1740788580,22.229561128526633,22.234561128526636
1740788640,22.2261797752809,22.23119382022469
1740788700,22.221588785046716,22.226588785046737
1740788760,22.22560650887569,22.23062130177514
1740788820,22.204171874999986,22.209171875
1740788880,22.202922848664695,22.20793768545992
1740788940,22.19632203389831,22.201322033898297
1740789000,22.17926315789475,22.184289473684235
1740789060,22.137762803234494,22.14277628032348
1740789120,22.133435828877047,22.138435828877018
1740789180,22.128927648578784,22.133940568475456
1740789240,22.124600550964207,22.129600550964224
1740789300,22.143514150943446,22.14853773584906
1740789360,22.12860856269111,22.133608562691165
1740789420,22.12006811989096,22.12510899182561
1740789480,22.133003048780502,22.13800304878049
1740789540,22.1162869822485,22.121286982248485
1740789600,22.109347079037768,22.114347079037792
1740789660,22.10598662207356,22.11098662207356
1740789720,22.059862700228837,22.064874141876434
1740789780,22.06909574468084,22.074095744680857
1740789840,22.093749999999986,22.09877906976744
1740789900,22.096702702702693,22.10171621621622
1740789960,22.100233236151606,22.105233236151587
1740790020,22.11976119402987,22.124761194029862
1740790080,22.11048611111111,22.115513888888863
1740790140,22.10724615384617,22.11226153846149
1740790200,22.114621212121197,22.119636363636317
1740790260,22.083819095477413,22.088831658291493
1740790320,22.060156695156724,22.065156695156688
1740790380,22.04908227848101,22.054098101265822
1740790440,22.035244215938356,22.04025706940872
1740790500,22.023180515759343,22.028194842406904
1740790560,22.022681347150286,22.027681347150285
1740790620,22.02895894428154,22.033958944281515
1740790680,22.040675675675665,22.045705705705693
1740790740,22.042018348623852,22.04701834862384
1740790800,22.04865432098764,22.053666666666654
1740790860,22.05399103139013,22.05902466367715
1740790920,22.05323218997363,22.05824538258573
1740790980,22.059885786802074,22.06489847715735
1740791040,22.059502617801037,22.064502617801065
1740791100,22.085081300813016,22.090081300813
1740791160,22.0970485175202,22.102048517520217
1740791220,22.091583333333322,22.096638888888876
1740791280,22.066111111111116,22.071111111111115
1740791340,22.067734138972828,22.072749244712995
1740791400,22.086988636363646,22.092002840909064
1740791460,22.130297029702987,22.135297029702997
1740791520,22.14463898916969,22.149638989169677
1740791580,22.13664688427301,22.14167655786352
1740791640,22.144081272084808,22.14908127208483
1740791700,22.155643382352963,22.160643382352912
1740791760,22.15430420711978,22.15930420711975
1740791820,22.184688524590133,22.18968852459016
1740791880,22.219906542056076,22.224922118380054
1740791940,22.23150165016501,22.236501650165017
1740792000,22.259279538904938,22.264308357348757
1740792060,22.237086956521722,22.242115942028967
1740792120,22.21139215686274,22.21641176470589
1740792180,22.213689655172413,22.218706896551733
1740792240,22.224597902097898,22.229597902097872
1740792300,22.189214743589755,22.19423076923079
1740792360,22.1580792682927,22.163079268292705
1740792420,22.141909090909095,22.146909090909116
1740792480,22.12718934911244,22.132189349112487
1740792540,22.128296875000018,22.133328125000055
1740792600,22.11839788732392,22.123397887323936
1740792660,22.100949008498574,22.105949008498538
1740792720,22.08761589403971,22.09261589403975
1740792780,22.096823708206667,22.101823708206666
1740792840,22.110400000000016,22.115399999999976
1740792900,22.135212418300657,22.140212418300685
1740792960,22.133667664670686,22.138667664670656
1740793020,22.115833333333295,22.120900537634405
1740793080,22.105544747081698,22.11058365758754
1740793140,22.120494505494534,22.12551282051283
1740793200,22.129896142433246,22.134910979228483
1740793260,22.18505376344088,22.19005376344085
1740793320,22.24794310722098,22.25295404814005
1740793380,22.261090686274535,22.26609068627454
1740793440,22.26783454987837,22.272858880778617
1740793500,22.265526315789515,22.270538277511978
1740793560,22.282180974477974,22.2872505800464
1740793620,22.309646569646553,22.314656964656976
1740793680,22.301066666666674,22.30612222222224
1740793740,22.289641203703724,22.29464120370371
1740793800,22.307769423558877,22.312794486215527
1740793860,22.375259740259768,22.380270562770594
1740793920,22.3972663551402,22.402278037383223
1740793980,22.417500000000008,22.422512820512846
1740794040,22.41488950276244,22.41990331491713
1740794100,22.4086160714286,22.413616071428557
1740794160,22.437085953878416,22.44210691823899
1740794220,22.477734225621372,22.482743785850833
1740794280,22.467394957983153,22.472405462184824
1740794340,22.46120822622105,22.466208226221088
1740794400,22.46213978494623,22.467172043010773
1740794460,22.418785871964687,22.4237969094923
1740794520,22.358887832699573,22.363906844106427
1740794580,22.367746636771237,22.37275784753361
1740794640,22.353804347826085,22.358828502415395
1740794700,22.337398989899015,22.342424242424244
1740794760,22.3351404494382,22.340154494382052
1740794820,22.319609375000027,22.324635416666634
1740794880,22.307166212534025,22.31217983651227
1740794940,22.317178082191806,22.322178082191815
1740795000,22.327229381443257,22.332229381443295
1740795060,22.360676691729278,22.36568922305763
1740795120,22.391156626506064,22.396192771084355
1740795180,22.405091623036693,22.41009162303666
1740795240,22.404379746835478,22.40939240506329
1740795300,22.41518518518519,22.420217864923757
1740795360,22.37458823529412,22.379599999999957
1740795420,22.312051282051275,22.317064102564114
1740795480,22.293541666666634,22.298541666666658
1740795540,22.303069306930652,22.30810643564355
1740795600,22.324895833333375,22.329895833333328
1740795660,22.3324396135266,22.337451690821243
1740795720,22.34484615384611,22.349858974358973
1740795780,22.342542787286074,22.347567237163773
1740795840,22.332699724517866,22.337741046831958
1740795900,22.333039473684188,22.338052631578954
1740795960,22.327971938775516,22.33298469387755
1740796020,22.33901821862346,22.34402834008098
